Titolo;Contenuto
Procedure in materia di valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9. - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di autorizzazione alla costruzione ed esercizio di lenee elettriche L.R. 22 febbraio 1993, n. 10 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa al progetto denominato “Impianto idroelettrico Traversa Campore”, sul torrente Scoltenna nei Comuni di Montecreto e Lama Mocogno (MO);L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. 1775 dell’11 dicembre 1933, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002 e della L.R. 22 febbraio 1993 n. 10, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
Procedure in materia di valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9 - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa al progetto denominato “Impianto idroelettrico ad acqua fluente”, sul torrente Dragone, in località Macinelle, nei Comuni di Palagano e Montefiorino (MO);L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. 1775 dell’11 dicembre 1933, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002 e della L.R. 22 febbraio 1993 n. 10, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
Procedure in materia di Impatto Ambientale L.R. 18 maggio 1999, n. 9 e procedure di autorizzazione unica DLgs 387/2003. Titolo III - Procedura di VIA relativa al progetto: Derivazione di acque superficiali dal Fiume Lamone ad uso plurimo e realizzazione di mini centrale idroelettrica denominata “Errano” in Comune di Faenza (RA) – Comunicato di archiviazione della procedura;L'Autorità competente: Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che la procedura di VIA relativa alla domanda di derivazione di acque superficiali dal Fiume Lamone ad uso plurimo e connessa realizzazione di mini centrale idroelettrica denominata “Errano” in Comune di Faenza (RA), presentata dal Comune di Faenza, di cui all’avviso della Regione Emilia-Romagna pubblicato nel BUR n. 71 del 26 aprile 2012, è archiviata su richiesta dell'Amministrazione proponente (lettera prot. n. 7088 del1'1/03/2016 acquisita dalla Regione Emilia-Romagna al prot. n. 178231 del 10/03/2016).
"Procedure in materia di valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9; procedura di Autorizzazione Unica D.Lgs. 29 dicembre 2003, n. 387; procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9; procedura di autorizzazione integrata ambientale L.R. 11 ottobre 2004, n. 21. Titolo III – Procedura di VIA relativa al progetto denominato “Impianto di produzione biometano”, ubicato in Comune di Sant'Agata Bolognese, in Via Romita n° 1. Avviso di deposito della documentazione integrativa al progetto già pubblicato nel BURER-T n. 255 del 7 ottobre 2015";L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale, su proposta di ARPAE - SAC di Bologna a cui è demandata l'istruttoria tecnica per la procedura in oggetto, avvisa che, ai sensi dell'art. 15 bis, comma 3 della Legge Regionale 18 maggio 1999, n. 9, non ché ai sensi del D.Lgs. 29 dicembre 2003 n. 387 e della L.R. 11 ottobre 2004 n. 21, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali integrativi per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
Procedure in materia di Impatto Ambientale L.R. 9/99 – Procedura di A.I.A. D.Lgs 152/2006 - Procedura di Autorizzazione Unica D.Lgs 387/03 - Procedura di variante agli strumenti urbanistici L.R. 9/99. Titolo III – Procedura di VIA relativa al progetto denominato “Ampliamento della discarica “Tre Monti”: recupero volumetrico in sopraelevazione del 3° lotto e realizzazione di un nuovo lotto nei Comuni di Imola (BO) e Riolo Terme (RA) proposto da CON.AMI e HERAmbiente”. Avviso di deposito della documentazione integrativa al progetto già pubblicato nel BURER-T n. 244 del 23 settembre 2015;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9 e successive modifiche ed integrazioni, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali integrativi presentati dai proponenti Herambiente e Conami, relativi al progetto:
 Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9 - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993, n. 10. Titolo III – Procedura di VIA relativa al progetto denominato impianto idroelettrico sul Torrente Dragone, Località Molino di Toggiano, nei Comuni di Palagano e Montefiorino (MO) – Proponente: Idroemilia Srl – Avviso di deposito della documentazione integrativa al progetto già pubblicato nel BUR n. 104 del 06/05/2015;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale, su proposta di ARPAE - SAC di Modena a cui è demandata l'istruttoria tecnica per la procedura in oggetto, avvisa che, ai sensi dell'art. 15 bis della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002, della L.R. 22 febbraio 1993, n. 10 sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati integrativi richiesti nell'ambito della procedura di VIA di cui all'avviso pubblicato sul BUR n. 104 del 6/5/2015, relativi al progetto di seguito indicato:
Metanodotto - Collettore campo AGIP Gallare DN 150 (6”) – Variante per rifacimento collettore Trebba in comune di Lagosanto e Comacchio (Ferrara). Istanza per l'accertamento della conformità urbanistica, l'apposizione del vincolo preordinato all'esproprio e la dichiarazione di pubblica utilità, l'autorizzazione alla costruzione e all'esercizio ex DPR 8/06/2001 n. 327 s.m.i. - art. 52 sexies. Avviso di deposito del progetto e degli elaborati identificativi delle aree interessate dal vincolo espropriativo e avvio del procedimento finalizzato alla dichiarazione di pubblica utilità e all'apposizione del vincolo espropriativo (art. 11 DPR 327/2001 e ss.mm.ii. e art. 11, c. 2, L.R. 37/2002 e ss.mm.ii) nell’ambito della procedura di Autorizzazione Unica ai sensi del D.P.R. 327/2001 (art. 52 quater);Avviso di deposito del progetto e degli elaborati identificativi delle aree interessate dal vincolo espropriativo e avvio del procedimento finalizzato alla dichiarazione di pubblica utilità e all'apposizione del vincolo espropriativo (art. 11 D.P.R. 327/2001 e ss.mm.ii. e art. 11, c. 2, L.R. 37/2002 e ss.mm.ii) nell’ambito della procedura di Autorizzazione Unica ai sensi del D.P.R. 327/2001 (art. 52 quater).
Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9, Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387, Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9, Procedura espropriativa L.R. 19 dicembre 2002, n. 37, Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993, n. 10 – Procedura di VIA relativa al progetto denominato “Costruzione ed esercizio di un impianto eolico di potenza 60 kWe in località Cà Menaia (foglio 44, mapp. 99, 275), in Comune di Camugnano (BO)”. Proponente ENERFREE SAS;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, della L.R. 19 dicembre 2002, n. 37 e della L.R. 22 febbraio 1993, n. 10 
Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9 - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387, Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa al progetto di realizzazione di minicentrale idroelettrica sul Fiume Secchia denominata “Impianto idroelettrico ex Edison”;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sos tenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. 1775 dell’11 dicembre 1933, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002 sono stati depositati, per la libera cons ultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato.
"Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9 - Procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387, Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37 - Procedura di autorizzazione alla costruzione ed esercizio di linee elettriche L.R. 22 febbraio 1993, n. 10 - Procedura di concessione di derivazione di acque pubbliche R.R. 20 novembre 2001, n. 41. Titolo III – Procedura di VIA relativa al progetto di realizzazione di un impianto idroelettrico ad acqua fluente denominato ""La Cà"" sul Torrente Dolo";L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, del R.R. 20 novembre 2001 n. 41, del R.D. 1775 dell’11 dicembre 1933, del D.P.R. 327 dell’8 giugno 2001, della L.R. 37/2002 e della L.R. 22 febbraio 1993 n. 10 son o stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VI A, relativa al progetto di seguito indicato.
Procedure in materia di Valutazione di impatto ambientale L.R. 18 maggio 1999, n. 9, procedura di autorizzazione unica D.Lgs. 29 dicembre 2003, n. 387 – Procedura di VIA relativa al progetto denominato “Costruzione ed esercizio di un impianto eolico di potenza 60 kWe in località Cà Menaia (foglio 44, mapp. 99, 275), in Comune di Camugnano (BO)”. Proponente Gianni Carpini;L'Autorità competente Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che, ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9, nonché ai sensi del D.Lgs. 29 dicembre 2003 n. 387, sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, relativa al progetto di seguito indicato:
 Approvazione del Modello per la richiesta di Autorizzazione Unica Ambientale per l'Emilia-Romagna (DPR 59/2013 e DPCM 8/5/2015);LA GIUNTA DELLA REGIONE EMILIA-ROMAGNA
Avviso di deposito del progetto di impianto idroelettrico sul Fiume Savio nel Comune di Sarsina, presentato da Nomar Enterprise S.r.l. - Autorizzazione Unica D.Lgs. 387/03 con apposizione del vincolo preordinato all'esproprio e dichiarazione di pubblica utilità, indifferibilità ed urgenza delle opere;Si rende noto che la ditta Nomar Enterprise S.r.l. - con sede legale in Mercato Saraceno (FC) - Via I Maggio n. 55 - con domanda presentata in data 09/10/2015, (prot. Prov. n. 88006/15) come integrata con note acquisite ai prott. provv. n. 95562 /2015 del 09/11/2015, n. 99263/2015 del 20/11/2015, ha chiesto l'autorizzazione unica per la costruzione e l'esercizio (ai sensi del D.Lgs. 387/03), di un impianto di produzione di energia elettrica da fonte rinnovabile di tipo “idroelettri co” di potenza elettrica massima pari a 228,00 kWe e potenza idraulica nominale media di concessione pari a 123,00 kW, da realizzare in Comune di Sarsina (identificato catastalmente alle particelle 26, 27, 83 del Foglio n. 57 del Comune di Sarsina).
Procedura per il rilascio dell’Autorizzazione Unica, ai sensi dell'art. 12 del D.Lgs. 387/2003, alla Modifica sostanziale di un impianto eolico sito in località Montevenere (foglio 58, mapp. 390), Comune di Monzuno (BO). Proponente: Probus Alboris S.r.l. Avviso di deposito, ai sensi dell’art. 14 comma 2, L.R. 9/99 e s.m.i., del S.I.A. e del progetto nell’ambito della procedura di Valutazione di Impatto Ambientale di cui al Titolo III, artt. 11 ss. L.R. 9/99 e s. m. e i.;La Società Probus Arboris, con sede legale in Via Provinciale 10, loc. Rioveggio, a Monzuno (Bo), ha presentato alla Città metropolitana di Bologna, Autorità competente ai sensi dell’art. 3 della L.R. 26/2004, un'istanza completa (acquisita agli atti con P.G. 116103 del 5/10/2015) per il rilascio, ai sensi dell’art. 12 D. Lgs. 387/2003, dell’Autorizzazione Unica alla Modifica sostanziale dell’impianto eolico sito in località Montevenere (foglio 58, mapp. 390), Comune di Monzuno (Bo).
Procedura di VIA volontaria e congiunta autorizzazione unica ex Dlgs 387/03. Progetto di realizzazione di impianto fotovoltaico fisso a terra di potenza pari a 1250 kW in comune di Argenta. Società Sipro SpA. Avviso archiviazione;L'Autorità competente Provincia di Ferrara, premesso che:
DLgs 152/06 e smi, LR 9/99 e smi, DLgs 152/2006. Decisione in merito alla procedura congiunta di VIA (valutazione impatto ambientale) e rilascio di autorizzazione unica ex art. 208 dlgs 152/2006 per progetto di recupero e chiusura della discarica di inerti Cà Leona e trasferimento attività di stoccaggio, recupero rifiuti non pericolosi e vendita di inerti in comune di Ferrara. Società Sortini Franco e Marco Srl;Ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9 e s.m.i. e del DLgs 152/06 e smi, l’autorità competente Provincia di Ferrara, con Atto del Presidente n.185 dell’11/9/2015, ha assunto la seguente decisione:
Procedure in materia di impatto ambientale L.R. 9/99 – Procedura di AIA D.Lgs. 152/2006 - Procedura di Autorizzazione Unica D.Lgs 387/03 - Procedura di variante agli strumenti urbanistici L.R. 9/99. Titolo III – Procedura di VIA relativa al progetto denominato “Ampliamento della discarica 'Tre Monti': recupero volumetrico in sopraelevazione del 3° lotto e realizzazione di un nuovo lotto nei comuni di Imola (BO) e Riolo Terme (RA) proposto da CON.AMI e HERAmbiente” ;L'Autorità competente per la Valutazione di impatto ambientale: Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che ai sensi del Titolo III della Legge regionale 18 maggio 1999, n. 9 e successive modifiche ed integrazioni, nonché RD 1775 dell’11 dicembre 1933, del DPR 327 dell’8 giugno 2001 e della L.R. 37/2002 sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali per l’effettuazione della procedura di VIA, di modifica sostanziale di AIA, delle varianti alle pianificazioni urbanistiche comunali, dell’Autorizzazione Unica ai sensi del D.Lgs. 387/2003 relativa al progetto: “Ampliamento della discarica 'Tre Monti': recupero volumetrico in sopraelevazione del 3° lotto e realizzazione di un nuovo lotto nei comuni di Imola (BO) e Riolo Terme (RA) proposto da CON.AMI e HERAmbiente”.
D.Lgs 152/06 e smi, LR 9/99 e smi. Decisione in merito alla procedura congiunta di VIA e modifica autorizzazione unica ex art. 208 Dlgs 152/06 per attività di recupero rifiuti presso il sito di via Fabbri 506 in comune di Ferrara. Ditta Rottam – Ferrara ;Ai sensi del Titolo III della Legge Regionale 18 maggio 1999, n. 9 e s.m.i. e del DLgs 152/06 e smi, l’autorità competente Provincia di Ferrara, con Atto del Presidente n.152 del 15/7/2015, ha assunto la seguente decisione:
